词,拼音,俄语释义,配图
爱,ài,любить,否
飞机,fēijī,самолёт,是
里,lǐ,"в, внутри (послелог)",否
八,bā,восемь,否
分钟,fēnzhōng,минута,否
六,liù,шесть,否
爸爸,bàba,папа,是
高兴,gāoxìng,"радостный, довольный",否
妈妈,māma,мама,是
杯子,bēizi,"стакан, чашка",是
个,gè,(универсальное счётное слово),否
吗,ma,(вопросительная частица),否
北京,Běijīng,Пекин,是
工作,gōngzuò,работать; работа,是
买,mǎi,покупать,是
本,běn,(счётное слово для книг),否
狗,gǒu,собака,是
猫,māo,кошка,是
不,bù,"не, нет",否
汉语,Hànyǔ,китайский язык,否
没关系,méi guānxi,"ничего страшного, не за что",否
不客气,bú kèqi,"не стоит благодарности, не за что",否
好,hǎo,"хороший, хорошо",否
没有,méiyǒu,"не иметь, нет; не (о прошедшем)",否
菜,cài,блюдо; овощи,是
号,hào,"число (даты), номер",否
米饭,mǐfàn,варёный рис,是
茶,chá,чай,是
喝,hē,пить,是
名字,míngzi,имя,否
吃,chī,"есть, кушать",是
和,hé,"и, с",否
明天,míngtiān,завтра,否
出租车,chūzūchē,такси,是
很,hěn,очень,否
哪,nǎ,"какой, который",否
打电话,dǎ diànhuà,звонить по телефону,是
后面,hòumiàn,"сзади, позади",否
哪儿,nǎr,"где, куда",否
大,dà,большой,否
回,huí,возвращаться,否
那,nà,"тот, то",否
的,de,(структурная частица),否
会,huì,"уметь, мочь; будет",否
呢,ne,(частица: а...?; продолжение действия),否
点,diǎn,точка; час (времени); немного,否
几,jǐ,сколько (до 10); несколько,否
能,néng,"мочь, можно",否
电脑,diànnǎo,компьютер,是
家,jiā,"дом, семья",是
你,nǐ,"ты, вы",否
电视,diànshì,телевизор; телевидение,是
叫,jiào,"звать, называться",否
年,nián,год,否
电影,diànyǐng,"фильм, кино",是
今天,jīntiān,сегодня,否
女儿,nǚ'ér,дочь,是
东西,dōngxi,"вещь, предмет",否
九,jiǔ,девять,否
朋友,péngyou,"друг, друзья",是
都,dōu,"все, оба",否
开,kāi,открывать(ся); вести (машину),否
漂亮,piàoliang,красивый,否
读,dú,читать (вслух); учиться,是
看,kàn,"смотреть, читать",否
苹果,píngguǒ,яблоко,是
对不起,duìbuqǐ,"извините, простите",否
看见,kànjiàn,"увидеть, видеть",否
七,qī,семь,否
多,duō,много; насколько,否
块,kuài,юань; кусок,否
前面,qiánmiàn,"спереди, впереди",否
多少,duōshao,сколько,否
来,lái,"приходить, приезжать",否
钱,qián,деньги,是
儿子,érzi,сын,是
老师,lǎoshī,"учитель, преподаватель",是
请,qǐng,просить; приглашать; пожалуйста,否
二,èr,два,否
了,le,(видовая/модальная частица),否
去,qù,"идти, ехать (туда)",否
饭店,fàndiàn,ресторан; отель,是
冷,lěng,холодный,是
热,rè,"горячий, жаркий",是
人,rén,"человек, люди",是
天气,tiānqì,погода,是
学校,xuéxiào,школа,是
认识,rènshi,"знать, быть знакомым; познакомиться",否
听,tīng,слушать,是
一,yī,один,否
三,sān,три,否
同学,tóngxué,"одноклассник, однокурсник",是
一点儿,yìdiǎnr,"немного, чуть-чуть",否
商店,shāngdiàn,магазин,是
喂,wèi,алло; эй,否
衣服,yīfu,одежда,是
上,shàng,наверху; подниматься; идти (на...),否
我,wǒ,я,否
医生,yīshēng,врач,是
上午,shàngwǔ,утро (до полудня),否
我们,wǒmen,мы,否
医院,yīyuàn,больница,是
少,shǎo,"мало, немного",否
五,wǔ,пять,否
椅子,yǐzi,стул,是
谁,shéi,кто (также читается shuí),否
喜欢,xǐhuan,"нравиться, любить",否
有,yǒu,"иметь, быть (есть)",否
什么,shénme,"что, какой",否
下,xià,внизу; спускаться; (о дожде) идти,否
月,yuè,месяц; луна,是
十,shí,десять,否
下午,xiàwǔ,время после полудня,否
再见,zàijiàn,до свидания,否
时候,shíhou,"время, момент",否
